False phone,Corrected Phone,salt
89226899999,89169901255,56998744
89225201234,89168202490,56998744
89226477899,89169479155,56998744
89893177899,89836179155,56998744
89714821234,89657822490,56998744
89923030000,89866031256,56998744
89253844569,89196845825,56998744
89745191234,89688192490,56998744
89914531234,89857532490,56998744
89828182345,89771183601,56998744
89638192345,89581193601,56998744
89253808999,89196810255,56998744
89255408999,89198410255,56998744
89745486999,89688488255,56998744
89234292345,89177293601,56998744
89915374569,89858375825,56998744
89224325699,89167326955,56998744
89216014569,89159015825,56998744
89638162345,89581163601,56998744
89923680000,89866681256,56998744
89236680000,89179681256,56998744
89163918999,89106920255,56998744
89166304569,89109305825,56998744
89705663456,89648664712,56998744
89166104569,89109105825,56998744
89215384569,89158385825,56998744
89215576999,89158578255,56998744
89895129999,89838131255,56998744
89253983456,89196984712,56998744
89704729999,89647731255,56998744
89156964569,89099965825,56998744
89254657899,89197659155,56998744
89684523234,89627524490,56998744
89895300123,89838301379,56998744
89166548999,89109550255,56998744
89235112123,89178113379,56998744
89925023234,89868024490,56998744
89215969899,89158971155,56998744
89163634123,89106635379,56998744
89893777778,89836779034,56998744
89916220123,89859221379,56998744
89925620123,89868621379,56998744
89233966699,89176967955,56998744
89925577778,89868579034,56998744
89743943234,89686944490,56998744
89234121000,89177122256,56998744
89923107778,89866109034,56998744
89068167778,89011169034,56998744
89865191000,89808192256,56998744
89153891000,89096892256,56998744
89913219899,89856221155,56998744
89254519899,89197521155,56998744
89746919899,89689921155,56998744
89916722123,89859723379,56998744
89255182123,89198183379,56998744
89094382123,89037383379,56998744
89914308899,89857310155,56998744
89914608899,89857610155,56998744
89114341000,89057342256,56998744
89234624123,89177625379,56998744
89893361000,89836362256,56998744
89214051000,89157052256,56998744
89726174123,89669175379,56998744
89693486699,89636487955,56998744
89216392123,89159393379,56998744
89233825000,89176826256,56998744
89893002123,89836003379,56998744
89096170123,89039171379,56998744
89925302123,89868303379,56998744
89896715000,89839716256,56998744
89225335000,89168336256,56998744
89684602123,89627603379,56998744
89236035000,89179036256,56998744
89235753234,89178754490,56998744
89704565000,89647566256,56998744
89213465000,89156466256,56998744
89916958899,89859960155,56998744
89865376699,89808377955,56998744
89895048899,89838050155,56998744
89866009899,89809011155,56998744
89163948899,89106950155,56998744
89318197778,89261199034,56998744
89166717778,89109719034,56998744
89895717778,89838719034,56998744
89155339899,89098341155,56998744
89255183234,89198184490,56998744
89744057778,89687059034,56998744
89164455569,89107456825,56998744
89234612000,89177613256,56998744
89914878778,89857880034,56998744
89915845569,89858846825,56998744
89253677123,89196678379,56998744
89233066000,89176067256,56998744
89743801123,89686802379,56998744
89115366000,89058367256,56998744
89225910778,89168912034,56998744
89254607123,89197608379,56998744
89236407123,89179408379,56998744
89235444345,89178445601,56998744
89164144345,89107145601,56998744
89753630778,89696632034,56998744
89866467123,89809468379,56998744
89115687123,89058688379,56998744
89234991123,89177992379,56998744
89923782000,89866783256,56998744
89915252000,89858253256,56998744
89095260778,89038262034,56998744
89723291123,89666292379,56998744
89234042000,89177043256,56998744
89236460778,89179462034,56998744
89115661123,89058662379,56998744
89318192000,89261193256,56998744
89254213000,89197214256,56998744
89213974345,89156975601,56998744
89926286000,89869287256,56998744
89164374345,89107375601,56998744
89914761123,89857762379,56998744
89924305569,89867306825,56998744
89754536000,89697537256,56998744
89115414345,89058415601,56998744
89214585569,89157586825,56998744
89233462000,89176463256,56998744
89893462000,89836463256,56998744
89214768778,89157770034,56998744
89924775569,89867776825,56998744
89234746000,89177747256,56998744
89723937123,89666938379,56998744
89716527123,89659528379,56998744
89124046000,89067047256,56998744
89155116000,89098117256,56998744
89233784345,89176785601,56998744
89913095569,89856096825,56998744
89754963000,89697964256,56998744
89926263000,89869264256,56998744
89866376000,89809377256,56998744
89725048778,89668050034,56998744
89235697123,89178698379,56998744
89753973000,89696974256,56998744
89236909000,89179910256,56998744
89234549000,89177550256,56998744
89924639000,89867640256,56998744
89093273000,89036274256,56998744
89896483000,89839484256,56998744
89925173000,89868174256,56998744
89726888000,89669889256,56998744
89125300699,89068301955,56998744
89696723123,89639724379,56998744
89915134234,89858135490,56998744
89893900699,89836901955,56998744
89164655234,89107656490,56998744
89126388000,89069389256,56998744
89256488000,89199489256,56998744
89705420699,89648421955,56998744
89225077000,89168078256,56998744
89828190699,89771191955,56998744
89208110699,89151111955,56998744
89688110699,89631111955,56998744
89724821999,89667823255,56998744
89093287000,89036288256,56998744
89253279123,89196280379,56998744
89225579123,89168580379,56998744
89223241999,89166243255,56998744
89865908000,89808909256,56998744
89913041999,89856043255,56998744
89233733123,89176734379,56998744
89746914234,89689915490,56998744
89114985234,89057986490,56998744
89116085234,89059086490,56998744
89923754234,89866755490,56998744
89116462234,89059463490,56998744
89164672234,89107673490,56998744
89114896123,89057897379,56998744
89685196123,89628197379,56998744
89913815234,89856816490,56998744
89166053123,89109054379,56998744
89164047000,89107048256,56998744
89926835234,89869836490,56998744
89684981999,89627983255,56998744
89225328000,89168329256,56998744
89124203123,89067204379,56998744
89214665234,89157666490,56998744
89234676123,89177677379,56998744
89923216123,89866217379,56998744
89866427000,89809428256,56998744
89895076123,89838077379,56998744
89828116123,89771117379,56998744
89165704234,89108705490,56998744
89703938000,89646939256,56998744
89735539123,89678540379,56998744
89694249123,89637250379,56998744
89924809123,89867810379,56998744
89734300899,89677302155,56998744
89915323345,89858324601,56998744
89865512569,89808513825,56998744
89254212569,89197213825,56998744
